,id,word,chinese,explain
0,1,Abolitionism,废奴主义,"A movement in europe and the americas dedicated to ending slavery, including a transatlantic slave trade that saw perhaps 15m africans transported to the americas between the 15th and 19th centuries. the british abolitionist movement was founded by quakers in 1873. influenced by the campaigning zeal of william wilberforce (1759–1833), a british member of parliament, britain outlawed the trading of slaves throughout its empire in 1807 (the possession of slaves remained lawful until 1834). france, which had originally condemned slavery in its 1795 constitution, incorporating its declaration of human rights, followed suit in 1848. in the united states abolitionism can be traced to a quaker petition against slavery in 1688, but success was, to say the least, gradual: northern states banned slavery in the early 19th century, with the importation of slaves being outlawed in 1808, but southern states considered slavery an essential part of their economy and way of life – hence the bloody american civil war of 1861–65. with the defeat of the south and the subsequent passing of the 13th amendment of the constitution, slavery was formally ended in the united states in december 1865. in law, there is now no slavery in the world; in practice, the un calculates that around 27m people worldwide live in slavery."
1,2,Absenteeism,旷工,"The state of being absent from the workplace – a frequent complaint by bosses, who may associate its rate in the workforce with trade-union membership. boredom could be a reason, too."
2,3,Absolutism,绝对主义,"As a political doctrine, it asserts the unlimited authority and sovereignty of a central figure, for example a monarch unchecked by parliament, judges or clerics. as louis xiv, the “sun king” who reigned in france from 1643 to 1715, famously put it, “l’état, c’est moi” (i am the state). the simple justification in the europe of the 16th–18th centuries was “the divine right of kings”, with the monarch deriving his authority from god. modern tyrants also wield absolute power, but often claim to be exponents of democracy. as a philosophical concept, absolutism holds that certain values, such as truth, are unchanging. relativists think otherwise (see relativism)."
3,4,Abstract expressionism,抽象表现主义,"A school of non-figurative art that began in new york in the 1940s and 1950s, emphasising spontaneous creation – as in the “action” paintings of jackson pollock (1912–56), who would pour or drip paint onto a whole canvas. other leading abstract expressionists (though their style differed from that of pollock) were mark rothko (1903–70) and dutch-born willem de kooning (1904–97). this new york school of painting, which in its origins was greatly influenced by europeans, such as the painters salvador dali (1904–89) and piet mondrian (1872–1944) and the poet andré breton (1896–1966), in flight from the second world war, shifted the post-war centre of gravity of the art world from europe to america."
4,5,Absurdism,荒诞主义,"A philosophy, closely linked to existentialism and nihilism, that holds that mankind exists in a meaningless, irrational world, making absurd any search for order and meaning. absurdism was intrinsic to the ideas of the 19th-century danish philosopher soran kierkegaard (1813–55), but was popularised by the french-algerian philosopher albert camus (1913–60) in his essay the myth of sisyphus. much of modern theatre is influenced by absurdism: the idea that life is ultimately without purpose has attracted playwrights from eugène ionesco to harold pinter."
5,6,Aestheticism,唯美主义,"A european, and particularly british, cultural movement in the late 19th century that decreed that art exists for its beauty alone – “l’art pour l’art” (art for art’s sake), as the french philosopher victor cousin (1792–1867) noted in 1818. the movement’s origins can be traced back to the 18th century, with the german philosopher immanuel kant (1724–1804) arguing that aesthetic standards are separate from morality or utility. the artists of the british pre-raphaelite school, such as edward burne-jones (1833–98) and dante gabriel rossetti (1828–82), were prominent followers of the movement, reacting against the view of john ruskin (1819–1900) and william morris (1834–96) that art must be connected to morality."
6,7,Afrocentrism,非洲中心论,"A view of the world that puts africa, and by extension any people of black african heritage, at the centre. afrocentrism was a concept developed mostly by african-americans, such as the scholar w.e.b. du bois (1868–1963), in reaction to generations of western oppression, either by colonialism or by slavery. the term “afrocentric” seems to have originated in 1961 or 1962, possibly thanks to du bois, in a proposal for an encyclopedia africana, which was to be “unashamedly afro-centric but not indifferent to the impact of the outside world”. in 2000 the american scholar molefi kete asante (born arthur lee smith junior in 1942) gave a lecture at liverpool university in britain entitled “afrocentricity: toward a new understanding of african thought in this millennium”. by the end of the 20th century afrocentrism had become a common theme in black studies at many american universities."
7,8,Ageism,年龄歧视,"Discrimination against the old on the basis of their age. the word was coined in 1969 by an american gerontologist, robert butler, and has since become an essential part of any politically correct vocabulary, not least because the voting power of the elderly in western democracies has increased with greater life expectancy and lower birth rates. in response, many governments have passed laws forbidding compulsory retirement ages and other such “ageist” measures. culturally, ageism seems embedded in the youth-admiring west, where national leaders are often elected when they are in their 40s; by contrast, in east asia old age commands respect, including in politics."
8,9,Agnosticism,不可知论,"Strictly speaking the idea that man cannot know anything beyond his material experience, but – in common usage – the notion that man cannot prove or disprove the existence of god. the term “agnostic” (formed by prefixing the “privative alpha” to gnosis, the greek word for knowledge) was first used in 1869 by the british biologist thomas huxley (1825–95) as a rejection of both traditional judaeo-christian theism and atheism. atheists sometimes argue that agnostics simply lack the courage to deny the existence of god; agnostics counter that they are being intellectually honest."
9,10,Agrarianism,农耕主义,"A movement that holds that the cultivation of the soil – but not industrial farming – provides a happier, more satisfying life than societies based on the city and modern capitalism. agrarian societies may have been the norm in the middle ages, but today they exist only in isolation: for example, the amish and mennonites in the united states, or hippy communes. several european countries had agrarian parties in the early 20th century, but the only instance of an agrarian movement gaining political power was the tyrannical rule from 1975 to 1979 of pol pot’s khmers rouges in cambodia. for all the supposed attractions of agrarianism, the trend towards city-living seems ineluctable: according to the un more than half of the world’s population now live in urban areas, a milestone reached in 2008."
10,11,Alarmism,危言耸听,"The issuing of needless, or exaggerated warnings. opportunities for alarmists are legion: terrorism, disease and natural disasters all invite pessimistic (see pessimism), but ultimately inaccurate, predictions – for example, the y2k bug that was supposed to wreck computer systems at the turn of the millennium, or the risk that saddam hussein (c1937–2006) would unleash weapons of mass destruction on the west. “crying wolf” is a common idiom for alarmism. however, alarmists are not inevitably wrong: the curse of cassandra, according to greek myth, was to make accurate prophecies that were never believed."
